FY,Month (abbv),Component,Region,Land Filter,Branch,Drug Type,Count of Event,Sum Qty (lbs)
2020,APR,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,1,0.0
2020,APR,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Methamphetamine,2,0.34
2020,APR,Air and Marine Operations,Coastal/Interior,Other,Mexico City IAC,Cocaine,1,3087.0
2020,APR,Air and Marine Operations,Coastal/Interior,Other,Mexico City IAC,Fentanyl,2,29.51
2020,APR,Air and Marine Operations,Coastal/Interior,Other,Mexico City IAC,Marijuana,1,2.91
2020,APR,Air and Marine Operations,Coastal/Interior,Other,Mexico City IAC,Methamphetamine,1,398.31
2020,APR,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,2,5252.31
2020,APR,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,1,0.09
2020,APR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,2,17.0
2020,APR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,1,6.97
2020,APR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Heroin,2,0.57
2020,APR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,2,16.990000000000002
2020,APR,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,1,2.57
2020,APR,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Marijuana,2,22.99
2020,APR,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Methamphetamine,1,0.12
2020,APR,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,1,115.41
2020,APR,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Cocaine,1,54.34
2020,APR,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Marijuana,1,2.87
2020,APR,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Methamphetamine,1,76.06
2020,APR,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Cocaine,3,36.6
2020,APR,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,3,0.4
2020,APR,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Heroin,1,1.14
2020,APR,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Marijuana,2,0.14
2020,APR,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,1,0.01
2020,APR,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Cocaine,2,88.19
